LEARNING_RATE	DECAY  	LOSS   	BATCH  	BANDS  	MODEL  	ID     	IoU
 0.0005	 0.0001	ce     	     16	      3	unet6_1	    268	0.79332
  0.001	  1e-05	ce     	     16	      3	unet6_1	    412	0.78614
0.00075	  0.001	ce     	     16	      3	unet6_1	    316	0.78541
  0.001	 0.0001	ce     	     32	      3	unet6_1	    404	0.78369
0.00075	  1e-05	ce     	     32	      3	unet6_1	    356	0.78295
0.00075	 0.0001	ce     	     16	      3	unet6_1	    332	0.78145
0.00075	  0.001	ce     	     32	      3	unet6_1	    324	0.78101
 0.0005	   0.01	ce     	     16	      3	unet6_1	    236	0.77711
  0.001	   0.01	ce     	     32	      3	unet6_1	    372	0.77379
 0.0005	  0.001	ce     	     16	      3	unet3_1	    248	0.77302
0.00075	   0.01	ce     	     32	      3	unet6_1	    308	0.77151
 0.0005	  1e-05	ce     	     16	      3	unet3_1	    280	0.77096
 0.0005	  0.001	ce     	     16	      3	unet6_1	    252	0.76972
0.00075	   0.01	ce     	     32	      3	unet3_1	    304	0.76812
0.00075	  1e-05	ce     	     32	      3	unet3_1	    352	0.76707
 0.0005	   0.01	ce     	     16	      3	unet3_1	    232	0.76674
0.00075	 0.0001	ce     	     32	      3	unet6_1	    340	0.76612
 0.0005	   0.01	ce     	     32	      3	unet6_1	    244	0.76495
 0.0005	  1e-05	ce     	     32	      3	unet6_1	    292	0.76437
 0.0005	 0.0001	ce     	     16	      3	unet3_1	    264	0.76277
0.00075	   0.01	ce     	     16	      3	unet3_1	    296	0.7615 
 0.0001	   0.01	ce     	     32	      3	unet2_2	    110	0.75915
0.00075	   0.01	ce     	     16	      3	unet6_1	    300	0.75833
  0.001	  1e-05	ce     	     32	      3	unet6_1	    420	0.75683
 0.0005	  0.001	ce     	     32	      3	unet6_1	    260	0.75629
 0.0005	 0.0001	ce     	     32	      3	unet6_1	    276	0.75573
0.00075	  0.001	ce     	     16	      3	unet3_1	    312	0.75351
 0.0005	  1e-05	ce     	     16	      3	unet6_1	    284	0.75211
 0.0001	 0.0001	ce     	     16	      3	unet2_2	    134	0.74807
 0.0001	  1e-05	ce     	     16	      3	unet2_2	    150	0.74807
  0.001	 0.0001	ce     	     32	      3	unet5_1	    401	0.74765
  0.001	   0.01	ce     	     32	      3	unet3_1	    368	0.74679
  0.001	  1e-05	ce     	     32	      3	unet3_1	    416	0.74094
0.00075	  0.001	ce     	     32	      3	unet3_1	    320	0.73802
 0.0005	  0.001	ce     	     32	      3	unet5_1	    257	0.73315
0.00075	 0.0001	ce     	     16	      3	unet3_1	    328	0.72892
0.00075	  1e-05	ce     	     16	      3	unet3_1	    344	0.72752
  0.001	 0.0001	ce     	     16	      3	unet6_1	    396	0.72751
  0.001	   0.01	ce     	     16	      3	unet6_1	    364	0.72261
 0.0001	 0.0001	ce     	     32	      3	unet2_2	    142	0.71978
  0.001	   0.01	ce     	     32	      3	unet2_1	    365	0.71721
 0.0001	  0.001	ce     	     32	      3	unet2_1	    125	0.71437
 0.0001	   0.01	ce     	     16	      3	unet2_1	    101	0.71032
 0.0001	  1e-05	ce     	     32	      3	unet2_1	    157	0.70968
 0.0001	  0.001	ce     	     16	      3	unet2_1	    117	0.70884
 0.0001	   0.01	ce     	     16	      3	unet5_2	    106	0.70847
 0.0001	 0.0001	ce     	     32	      3	unet2_1	    141	0.70838
  0.001	 0.0001	ce     	     32	      3	unet3_1	    400	0.70808
0.00025	  0.001	ce     	     16	      3	unet3_1	    184	0.70795
 0.0001	 0.0001	ce     	     16	      3	unet2_1	    133	0.70723
0.00025	  1e-05	ce     	     16	      3	unet5_1	    217	0.70579
 0.0001	  0.001	ce     	     16	      3	unet2_2	    118	0.70506
 0.0001	  1e-05	ce     	     16	      3	unet2_1	    149	0.70381
0.00075	 0.0001	ce     	     32	      3	unet5_1	    337	0.70315
0.00025	 0.0001	ce     	     16	      3	unet2_2	    198	0.70303
0.00025	   0.01	ce     	     32	      3	unet2_1	    173	0.70136
0.00025	   0.01	ce     	     16	      3	unet2_2	    166	0.70082
0.00025	  1e-05	ce     	     32	      3	unet2_1	    221	0.69883
0.00025	 0.0001	ce     	     16	      3	unet3_1	    200	0.69835
0.00025	  0.001	ce     	     16	      3	unet6_1	    188	0.69574
 0.0001	  1e-05	ce     	     32	      3	unet2_2	    158	0.69526
0.00025	 0.0001	ce     	     16	      3	unet5_1	    201	0.69451
 0.0001	   0.01	ce     	     16	      3	unet5_1	    105	0.69436
 0.0005	  1e-05	ce     	     32	      3	unet3_1	    288	0.69411
 0.0001	   0.01	ce     	     16	      3	unet2_2	    102	0.69284
0.00025	   0.01	ce     	     16	      3	unet5_1	    169	0.6917 
 0.0005	 0.0001	ce     	     32	      3	unet5_1	    273	0.69152
0.00025	 0.0001	ce     	     32	      3	unet2_1	    205	0.69137
0.00075	   0.01	ce     	     32	      3	unet2_1	    301	0.69077
  0.001	  0.001	ce     	     32	      3	unet5_1	    385	0.69044
0.00025	  0.001	ce     	     16	      3	unet2_4	    183	0.69033
0.00025	  0.001	ce     	     32	      3	unet2_1	    189	0.69031
 0.0005	  0.001	ce     	     32	      3	unet2_1	    253	0.68901
 0.0001	   0.01	ce     	     32	      3	unet2_1	    109	0.68771
0.00025	   0.01	ce     	     16	      3	unet2_1	    165	0.68698
 0.0001	   0.01	ce     	     32	      3	unet5_1	    113	0.68687
0.00075	  1e-05	ce     	     32	      3	unet2_1	    349	0.68685
 0.0005	   0.01	ce     	     32	      3	unet2_1	    237	0.68633
 0.0001	 0.0001	ce     	     16	      3	unet2_4	    135	0.68614
0.00075	 0.0001	ce     	     32	      3	unet3_1	    336	0.68491
  0.001	  1e-05	ce     	     16	      3	unet2_2	    406	0.68445
  0.001	 0.0001	ce     	     32	      3	unet2_1	    397	0.6844 
0.00025	 0.0001	ce     	     16	      3	unet2_1	    197	0.68259
0.00075	  1e-05	ce     	     16	      3	unet6_1	    348	0.68243
  0.001	  1e-05	ce     	     32	      3	unet2_1	    413	0.68241
0.00075	 0.0001	ce     	     32	      3	unet2_1	    333	0.68129
 0.0005	 0.0001	ce     	     32	      3	unet2_1	    269	0.68026
0.00025	   0.01	ce     	     16	      3	unet3_1	    168	0.68014
  0.001	 0.0001	ce     	     16	      3	unet2_1	    389	0.6799 
 0.0001	   0.01	ce     	     16	      3	unet6_1	    108	0.67936
0.00025	  0.001	ce     	     32	      3	unet2_2	    190	0.67821
 0.0005	   0.01	ce     	     32	      3	unet5_1	    241	0.6782 
  0.001	  0.001	ce     	     32	      3	unet2_1	    381	0.67798
0.00075	 0.0001	ce     	     32	      3	unet2_2	    334	0.67785
0.00025	 0.0001	ce     	     16	      3	unet6_1	    204	0.6778 
0.00075	  1e-05	ce     	     32	      3	unet5_1	    353	0.67699
0.00075	  0.001	ce     	     16	      3	unet2_2	    310	0.67658
0.00025	  0.001	ce     	     16	      3	unet5_1	    185	0.67654
0.00025	 0.0001	ce     	     32	      3	unet5_1	    209	0.67622
 0.0001	  1e-05	ce     	     16	      3	unet5_1	    153	0.67545
0.00025	  0.001	ce     	     16	      3	unet2_1	    181	0.67535
 0.0005	  0.001	ce     	     16	      3	unet5_1	    249	0.67422
 0.0001	 0.0001	ce     	     16	      3	unet5_1	    137	0.67414
0.00025	  0.001	ce     	     16	      3	unet2_2	    182	0.67391
 0.0005	  1e-05	ce     	     32	      3	unet2_1	    285	0.67374
  0.001	  1e-05	ce     	     32	      3	unet5_2	    418	0.67362
0.00025	   0.01	ce     	     32	      3	unet5_1	    177	0.67337
 0.0001	  1e-05	ce     	     16	      3	unet2_4	    151	0.67333
  0.001	  0.001	ce     	     16	      3	unet3_1	    376	0.67315
 0.0001	  0.001	ce     	     32	      3	unet2_2	    126	0.67238
0.00025	   0.01	ce     	     32	      3	unet2_2	    174	0.67223
0.00075	 0.0001	ce     	     16	      3	unet2_4	    327	0.67176
0.00075	   0.01	ce     	     16	      3	unet5_4	    299	0.67142
 0.0001	  0.001	ce     	     16	      3	unet5_2	    122	0.66968
 0.0005	  1e-05	ce     	     16	      3	unet5_4	    283	0.66936
  0.001	  0.001	ce     	     32	      3	unet3_1	    384	0.66911
0.00025	  1e-05	ce     	     32	      3	unet3_1	    224	0.66908
  0.001	   0.01	ce     	     16	      3	unet2_1	    357	0.66907
0.00075	   0.01	ce     	     16	      3	unet5_1	    297	0.66865
0.00025	  1e-05	ce     	     16	      3	unet2_1	    213	0.66848
 0.0001	 0.0001	ce     	     16	      3	unet5_2	    138	0.668  
0.00075	   0.01	ce     	     16	      3	unet2_4	    295	0.66776
0.00075	   0.01	ce     	     32	      3	unet5_1	    305	0.66722
 0.0005	  0.001	ce     	     16	      3	unet2_2	    246	0.66603
0.00025	  1e-05	ce     	     16	      3	unet6_1	    220	0.66573
 0.0005	  1e-05	ce     	     16	      3	unet5_1	    281	0.66469
0.00025	  0.001	ce     	     32	      3	unet6_1	    196	0.66425
  0.001	   0.01	ce     	     16	      3	unet3_1	    360	0.66417
 0.0005	  1e-05	ce     	     32	      3	unet5_1	    289	0.66363
0.00025	 0.0001	ce     	     32	      3	unet6_1	    212	0.66349
0.00075	  0.001	ce     	     32	      3	unet2_1	    317	0.66265
0.00025	   0.01	ce     	     32	      3	unet5_4	    179	0.66262
 0.0005	  1e-05	ce     	     16	      3	unet2_2	    278	0.66234
  0.001	   0.01	ce     	     16	      3	unet2_2	    358	0.66166
  0.001	  1e-05	ce     	     32	      3	unet5_1	    417	0.66145
  0.001	  1e-05	ce     	     16	      3	unet2_1	    405	0.66144
 0.0005	 0.0001	ce     	     32	      3	unet3_1	    272	0.66143
 0.0005	 0.0001	ce     	     32	      3	unet2_4	    271	0.66128
  0.001	  1e-05	ce     	     16	      3	unet5_2	    410	0.66109
 0.0005	  1e-05	ce     	     16	      3	unet5_2	    282	0.6608 
  0.001	  0.001	ce     	     16	      3	unet2_2	    374	0.66015
0.00025	 0.0001	ce     	     16	      3	unet2_4	    199	0.6601 
0.00025	  1e-05	ce     	     16	      3	unet2_4	    215	0.65999
0.00025	   0.01	ce     	     32	      3	unet6_1	    180	0.65988
 0.0005	  0.001	ce     	     32	      3	unet3_1	    256	0.65953
  0.001	 0.0001	ce     	     32	      3	unet2_4	    399	0.65953
  0.001	  0.001	ce     	     16	      3	unet2_1	    373	0.65941
0.00025	   0.01	ce     	     16	      3	unet2_4	    167	0.65918
0.00025	   0.01	ce     	     32	      3	unet2_4	    175	0.65906
  0.001	   0.01	ce     	     32	      3	unet5_1	    369	0.65891
 0.0005	  0.001	ce     	     32	      3	unet2_2	    254	0.65873
 0.0005	  0.001	ce     	     32	      3	unet2_4	    255	0.65853
 0.0005	  1e-05	ce     	     32	      3	unet2_4	    287	0.6581 
0.00075	   0.01	ce     	     16	      3	unet5_2	    298	0.65753
  0.001	  1e-05	ce     	     32	      3	unet2_2	    414	0.65726
 0.0005	   0.01	ce     	     16	      3	unet2_2	    230	0.65682
 0.0001	  1e-05	ce     	     16	      3	unet3_1	    152	0.65679
0.00025	   0.01	ce     	     16	      3	unet6_1	    172	0.65677
 0.0005	   0.01	ce     	     32	      3	unet2_4	    239	0.65649
 0.0001	 0.0001	ce     	     32	      3	unet2_4	    143	0.65636
 0.0005	  1e-05	ce     	     32	      3	unet2_2	    286	0.65624
0.00025	  0.001	ce     	     32	      3	unet5_4	    195	0.65604
0.00075	 0.0001	ce     	     16	      3	unet2_2	    326	0.65595
  0.001	  0.001	ce     	     32	      3	unet2_2	    382	0.65564
 0.0005	 0.0001	ce     	     16	      3	unet2_2	    262	0.6554 
0.00025	  1e-05	ce     	     16	      3	unet2_2	    214	0.65497
 0.0001	   0.01	ce     	     16	      3	unet3_1	    104	0.65429
0.00025	  1e-05	ce     	     32	      3	unet2_2	    222	0.65419
0.00075	   0.01	ce     	     32	      3	unet2_4	    303	0.65417
 0.0001	 0.0001	ce     	     32	      3	unet5_1	    145	0.65375
 0.0005	   0.01	ce     	     16	      3	unet2_1	    229	0.65352
0.00075	  0.001	ce     	     16	      3	unet5_2	    314	0.65349
 0.0005	 0.0001	ce     	     16	      3	unet2_4	    263	0.65317
0.00025	 0.0001	ce     	     16	      3	unet5_2	    202	0.65253
  0.001	  0.001	ce     	     32	      3	unet5_2	    386	0.65144
 0.0005	  1e-05	ce     	     32	      3	unet5_2	    290	0.65124
0.00025	  1e-05	ce     	     16	      3	unet3_1	    216	0.65117
0.00075	  0.001	ce     	     16	      3	unet5_4	    315	0.65073
 0.0001	   0.01	ce     	     16	      3	unet2_4	    103	0.65059
0.00075	  0.001	ce     	     16	      3	unet2_1	    309	0.65039
 0.0001	  1e-05	ce     	     16	      3	unet5_2	    154	0.64977
  0.001	   0.01	ce     	     32	      3	unet2_4	    367	0.64887
 0.0005	  0.001	ce     	     16	      3	unet2_4	    247	0.64882
  0.001	  0.001	ce     	     16	      3	unet5_1	    377	0.64876
 0.0005	   0.01	ce     	     16	      3	unet5_4	    235	0.64773
 0.0001	 0.0001	ce     	     16	      3	unet6_1	    140	0.64764
 0.0001	 0.0001	ce     	     16	      3	unet3_1	    136	0.64764
 0.0005	   0.01	ce     	     16	      3	unet2_4	    231	0.64729
  0.001	 0.0001	ce     	     16	      3	unet3_1	    392	0.64645
  0.001	  1e-05	ce     	     16	      3	unet3_1	    408	0.64619
 0.0001	   0.01	ce     	     32	      3	unet2_4	    111	0.64571
  0.001	  0.001	ce     	     32	      3	unet6_1	    388	0.64566
 0.0001	 0.0001	ce     	     32	      3	unet3_1	    144	0.64485
0.00025	  0.001	ce     	     32	      3	unet2_4	    191	0.64416
0.00025	  1e-05	ce     	     32	      3	unet2_4	    223	0.64368
0.00025	 0.0001	ce     	     32	      3	unet2_4	    207	0.64368
 0.0001	  1e-05	ce     	     32	      3	unet2_4	    159	0.64366
 0.0001	  1e-05	ce     	     32	      3	unet5_2	    162	0.64362
0.00075	  0.001	ce     	     32	      3	unet2_4	    319	0.64346
 0.0001	  0.001	ce     	     16	      3	unet2_4	    119	0.64295
 0.0005	   0.01	ce     	     16	      3	unet5_1	    233	0.64292
  0.001	  0.001	ce     	     16	      3	unet2_4	    375	0.64274
0.00075	   0.01	ce     	     32	      3	unet2_2	    302	0.64271
0.00075	 0.0001	ce     	     16	      3	unet5_4	    331	0.6425 
0.00025	  0.001	ce     	     32	      3	unet5_2	    194	0.64248
0.00025	 0.0001	ce     	     32	      3	unet5_4	    211	0.64247
0.00075	  1e-05	ce     	     16	      3	unet2_2	    342	0.64229
0.00075	 0.0001	ce     	     16	      3	unet5_1	    329	0.6421 
0.00075	 0.0001	ce     	     16	      3	unet2_1	    325	0.64202
0.00025	   0.01	ce     	     32	      3	unet3_1	    176	0.64149
  0.001	   0.01	ce     	     16	      3	unet2_4	    359	0.64141
0.00025	  1e-05	ce     	     32	      3	unet5_1	    225	0.64127
0.00075	   0.01	ce     	     16	      3	unet2_2	    294	0.64111
  0.001	 0.0001	ce     	     32	      3	unet5_2	    402	0.64101
0.00025	  0.001	ce     	     32	      3	unet5_1	    193	0.64085
0.00025	 0.0001	ce     	     32	      3	unet3_1	    208	0.64042
 0.0005	   0.01	ce     	     16	      3	unet5_2	    234	0.64022
 0.0005	  0.001	ce     	     16	      3	unet5_4	    251	0.63974
0.00025	 0.0001	ce     	     32	      3	unet2_2	    206	0.63946
  0.001	 0.0001	ce     	     16	      3	unet2_2	    390	0.63901
 0.0001	 0.0001	ce     	     32	      3	unet5_4	    147	0.63885
 0.0001	   0.01	ce     	     16	      3	unet5_4	    107	0.63829
0.00025	  1e-05	ce     	     32	      3	unet5_2	    226	0.63828
 0.0005	  0.001	ce     	     16	      3	unet5_2	    250	0.63826
 0.0005	  1e-05	ce     	     16	      3	unet2_1	    277	0.6382 
  0.001	  0.001	ce     	     16	      3	unet5_4	    379	0.63818
 0.0005	 0.0001	ce     	     16	      3	unet2_1	    261	0.63807
 0.0001	  0.001	ce     	     16	      3	unet5_1	    121	0.63805
0.00025	   0.01	ce     	     16	      3	unet5_4	    171	0.63804
 0.0005	 0.0001	ce     	     32	      3	unet2_2	    270	0.63742
 0.0001	  0.001	ce     	     32	      3	unet5_4	    131	0.63741
 0.0001	  1e-05	ce     	     32	      3	unet5_4	    163	0.63734
0.00075	  1e-05	ce     	     16	      3	unet2_1	    341	0.63692
0.00075	  1e-05	ce     	     16	      3	unet5_1	    345	0.63688
  0.001	  1e-05	ce     	     16	      3	unet5_1	    409	0.63665
0.00075	 0.0001	ce     	     32	      3	unet5_4	    339	0.63642
 0.0005	   0.01	ce     	     32	      3	unet3_1	    240	0.63601
0.00025	  1e-05	ce     	     32	      3	unet5_4	    227	0.63548
  0.001	 0.0001	ce     	     16	      3	unet5_1	    393	0.63547
0.00075	  0.001	ce     	     32	      3	unet2_2	    318	0.63487
 0.0001	  0.001	ce     	     16	      3	unet6_1	    124	0.63437
0.00025	  0.001	ce     	     16	      3	unet5_4	    187	0.63436
 0.0005	 0.0001	ce     	     16	      3	unet5_1	    265	0.63428
 0.0001	   0.01	ce     	     32	      3	unet5_4	    115	0.63403
  0.001	  0.001	ce     	     16	      3	unet6_1	    380	0.63318
0.00075	  1e-05	ce     	     32	      3	unet2_4	    351	0.63277
  0.001	  0.001	ce     	     32	      3	unet2_4	    383	0.63246
 0.0001	  0.001	ce     	     16	      3	unet5_4	    123	0.6324 
 0.0005	   0.01	ce     	     32	      3	unet5_2	    242	0.6318 
0.00075	  1e-05	ce     	     16	      3	unet5_4	    347	0.62991
 0.0005	 0.0001	ce     	     16	      3	unet5_2	    266	0.6295 
0.00075	 0.0001	ce     	     16	      3	unet5_2	    330	0.62904
 0.0005	  0.001	ce     	     16	      3	unet2_1	    245	0.62864
  0.001	  0.001	ce     	     16	      3	unet5_2	    378	0.62851
 0.0001	  1e-05	ce     	     32	      3	unet5_1	    161	0.62841
 0.0001	  0.001	ce     	     32	      3	unet5_1	    129	0.6274 
  0.001	   0.01	ce     	     32	      3	unet5_2	    370	0.6271 
 0.0001	  0.001	ce     	     32	      3	unet3_1	    128	0.62622
0.00025	  0.001	ce     	     32	      3	unet3_1	    192	0.62605
  0.001	  1e-05	ce     	     32	      3	unet2_4	    415	0.62557
0.00075	 0.0001	ce     	     32	      3	unet2_4	    335	0.62462
0.00075	  0.001	ce     	     16	      3	unet2_4	    311	0.62427
 0.0001	  1e-05	ce     	     32	      3	unet6_1	    164	0.62376
 0.0001	 0.0001	ce     	     32	      3	unet6_1	    148	0.62375
0.00025	  1e-05	ce     	     32	      3	unet6_1	    228	0.62371
0.00075	  0.001	ce     	     32	      3	unet5_1	    321	0.62321
  0.001	   0.01	ce     	     16	      3	unet5_4	    363	0.623  
 0.0005	  0.001	ce     	     32	      3	unet5_4	    259	0.62287
 0.0005	   0.01	ce     	     32	      3	unet5_4	    243	0.62179
 0.0001	  1e-05	ce     	     32	      3	unet3_1	    160	0.6212 
0.00075	   0.01	ce     	     32	      3	unet5_2	    306	0.61988
  0.001	  1e-05	ce     	     32	      3	unet5_4	    419	0.61934
 0.0005	   0.01	ce     	     32	      3	unet2_2	    238	0.61874
0.00075	  0.001	ce     	     16	      3	unet5_1	    313	0.61834
0.00075	   0.01	ce     	     16	      3	unet2_1	    293	0.61616
  0.001	   0.01	ce     	     16	      3	unet5_2	    362	0.61564
0.00025	   0.01	ce     	     32	      3	unet5_2	    178	0.61401
 0.0001	  0.001	ce     	     32	      3	unet2_4	    127	0.61371
  0.001	  1e-05	ce     	     16	      3	unet2_4	    407	0.61275
  0.001	 0.0001	ce     	     32	      3	unet2_2	    398	0.61202
0.00075	  0.001	ce     	     32	      3	unet5_2	    322	0.61174
0.00025	   0.01	ce     	     16	      3	unet5_2	    170	0.61173
 0.0001	 0.0001	ce     	     16	      3	unet5_4	    139	0.61165
 0.0005	 0.0001	ce     	     32	      3	unet5_2	    274	0.61128
  0.001	  1e-05	ce     	     16	      3	unet5_4	    411	0.61023
0.00075	  1e-05	ce     	     32	      3	unet2_2	    350	0.60953
  0.001	   0.01	ce     	     16	      3	unet5_1	    361	0.60901
0.00075	  1e-05	ce     	     16	      3	unet5_2	    346	0.60791
0.00075	  1e-05	ce     	     16	      3	unet2_4	    343	0.60778
  0.001	 0.0001	ce     	     16	      3	unet5_2	    394	0.60762
  0.001	 0.0001	ce     	     16	      3	unet5_4	    395	0.60751
0.00025	 0.0001	ce     	     16	      3	unet5_4	    203	0.60729
0.00025	  1e-05	ce     	     16	      3	unet5_4	    219	0.60696
 0.0001	  1e-05	ce     	     16	      3	unet6_1	    156	0.60626
0.00075	   0.01	ce     	     32	      3	unet5_4	    307	0.60612
 0.0001	   0.01	ce     	     32	      3	unet3_1	    112	0.60593
 0.0005	  0.001	ce     	     32	      3	unet5_2	    258	0.60254
 0.0001	  0.001	ce     	     32	      3	unet5_2	    130	0.60121
 0.0005	 0.0001	ce     	     16	      3	unet5_4	    267	0.601  
  0.001	 0.0001	ce     	     16	      3	unet2_4	    391	0.59979
 0.0005	  1e-05	ce     	     16	      3	unet2_4	    279	0.59977
 0.0005	  1e-05	ce     	     32	      3	unet5_4	    291	0.59879
0.00025	  1e-05	ce     	     16	      3	unet5_2	    218	0.59755
 0.0001	   0.01	ce     	     32	      3	unet5_2	    114	0.59604
 0.0001	  0.001	ce     	     16	      3	unet3_1	    120	0.5957 
0.00075	  0.001	ce     	     32	      3	unet5_4	    323	0.59444
 0.0001	  1e-05	ce     	     16	      3	unet5_4	    155	0.59078
  0.001	   0.01	ce     	     32	      3	unet2_2	    366	0.58861
0.00075	  1e-05	ce     	     32	      3	unet5_2	    354	0.58579
0.00075	  1e-05	ce     	     32	      3	unet5_4	    355	0.58425
  0.001	   0.01	ce     	     32	      3	unet5_4	    371	0.5839 
0.00025	  0.001	ce     	     16	      3	unet5_2	    186	0.58326
 0.0001	  0.001	ce     	     32	      3	unet6_1	    132	0.58247
0.00025	 0.0001	ce     	     32	      3	unet5_2	    210	0.58157
 0.0001	   0.01	ce     	     32	      3	unet6_1	    116	0.57365
 0.0005	 0.0001	ce     	     32	      3	unet5_4	    275	0.57221
  0.001	  0.001	ce     	     32	      3	unet5_4	    387	0.57141
 0.0001	 0.0001	ce     	     32	      3	unet5_2	    146	0.56653
0.00075	 0.0001	ce     	     32	      3	unet5_2	    338	0.5558 
  0.001	 0.0001	ce     	     32	      3	unet5_4	    403	0.53939
